MedicineID,MedicineName,Brand,Category,Price,ExpiryDate,BatchNumber,SupplierID
1,Nite Time,Flipbug,Injection,2789.06,2025-12-12,BT-6089,1
2,Ropinirole,Oyondu,Cream,2131.07,2026-02-18,BT-9828,7
3,Renewal Anti-Wrinkle,Demimbu,Tablet,2925.14,2026-04-09,BT-2014,12
4,Olanzapine and Fluoxetine,Brightdog,Capsule,3286.34,2025-05-20,BT-9840,19
5,AZITHROMYCIN,Digitube,Injection,805.7,2026-03-04,BT-5521,7
6,JNH Dr. Intensive Plus UV Protector,Photolist,Tablet,3833.85,2025-06-05,BT-3807,9
7,Orajel for Cold Sores,Leexo,Capsule,1292.09,2026-03-16,BT-6156,9
8,Nisoldipine,Trudeo,Cream,2660.06,2025-08-31,BT-4385,8
9,ALOE ICE,Oozz,Tablet,4974.76,2025-08-26,BT-5430,15
10,Clindamycin Phosphate,Edgeclub,Syrup,4492.01,2026-01-23,BT-9245,5
11,Icy Hot,Quinu,Cream,2883.53,2025-08-16,BT-6651,6
12,Delsym Night Time,Muxo,Capsule,4425.59,2025-05-24,BT-2258,3
13,Lorazepam,DabZ,Injection,1996.86,2025-06-27,BT-0695,14
14,NITROUS OXIDE,Meembee,Cream,1566.04,2025-08-03,BT-1787,2
15,Doxycycline Hyclate,Quire,Tablet,4824.3,2026-04-22,BT-2426,8
16,Antiseptic,Realcube,Tablet,1237.18,2025-11-25,BT-8544,9
17,Donepezil hydrochloride,Brainlounge,Injection,2091.19,2026-01-22,BT-3402,8
18,Etodolac,Skyba,Syrup,4625.91,2025-05-29,BT-6427,19
19,Mephyton,Oyoloo,Syrup,1057.1,2026-03-01,BT-5996,12
20,Cleocin Phosphate,Rhynoodle,Capsule,2892.15,2025-11-02,BT-1410,12
21,Ibuprofen,Bluejam,Capsule,638.03,2025-10-31,BT-9870,17
22,Lovastatin,Vinder,Capsule,863.15,2025-09-09,BT-3669,16
23,Doxepin Hydrochloride,Rhycero,Injection,3361.25,2026-01-24,BT-0889,10
24,Sea Marine Antibacterial,Buzzdog,Syrup,2885.24,2026-05-16,BT-5813,3
25,LBEL COULEUR LUXE AMPLIFIER XP,Feedspan,Injection,3887.71,2025-12-16,BT-5093,17
26,POLYNESIA LAGOON WATER HYDRO EMULSION,Oyope,Capsule,4112.95,2026-05-06,BT-9419,6
27,Pain Relief PM,Babbleblab,Tablet,1702.76,2026-01-14,BT-7148,16
28,Original Extra Strong All Natural Fishermans Friend Menthol Cough Suppressant,Quamba,Cream,4624.23,2026-05-16,BT-4328,2
29,Extra Strength Acetaminophen,Shuffledrive,Tablet,344.13,2025-09-11,BT-5014,16
30,Levetiracetam,Mydo,Capsule,1445.49,2026-04-27,BT-8002,17
31,Epirubicin Hydrochloride,Zoomcast,Tablet,4854.33,2025-09-11,BT-4294,7
32,BETULA ALBA JUICE BB,Skynoodle,Cream,2046.2,2025-10-08,BT-0303,4
33,Ranitidine,Wordware,Syrup,3041.61,2025-12-23,BT-2498,19
34,VANOXIDE,Gabvine,Injection,1955.18,2025-05-20,BT-1830,5
35,AVAPTA,Edgepulse,Cream,3735.77,2025-05-20,BT-8006,5
36,Hand Sanitizer,Yambee,Capsule,302.94,2025-09-16,BT-3340,5
37,RITE AID DAILY MOISTURIZER,Twiyo,Injection,1871.31,2025-05-31,BT-5852,12
38,Sunmark Allergy Relief,Skibox,Injection,789.93,2025-06-19,BT-7194,5
39,Childrens WAL-DRYL,Jabbersphere,Capsule,4395.13,2025-10-04,BT-4496,3
40,Athletes Foot,Twitterbeat,Capsule,3695.87,2026-03-24,BT-3844,2
41,Rifampin,Latz,Injection,1400.06,2026-04-23,BT-3793,6
42,Equate Tussin,Tekfly,Capsule,1931.26,2026-01-04,BT-9698,17
43,CVS Therapeutic Menthol Pain Reliever,Yodo,Injection,2670.72,2025-10-13,BT-9418,12
44,promethazine hydrochloride and codeine phosphate,Voolia,Syrup,3293.8,2025-08-05,BT-9094,7
