OrderDetailID,OrderID,MedicineID,Quantity,Price
1,45,36,41,2247.84
2,16,12,2,3695.67
3,85,66,40,2953.31
4,21,77,7,159.05
5,75,17,39,4167.83
6,26,27,10,2607.95
7,43,49,32,1923.79
8,63,8,16,4494.54
9,46,46,40,1454.64
10,31,100,4,1212.35
11,7,12,33,3336.58
12,29,7,31,3191.27
13,53,8,12,926.67
14,28,85,10,3149.71
15,47,35,36,385.37
16,37,82,33,4822.91
17,3,39,34,3758.67
18,39,67,35,815.13
19,17,35,39,3134.94
20,39,70,8,3732.53
21,58,73,16,4528.88
22,57,98,32,4138.19
23,25,82,1,2811.79
24,97,43,25,3197.73
25,77,84,37,4418.36
26,89,95,47,3170.26
27,33,97,41,1118.65
28,60,24,29,2657.42
29,5,94,35,4734.41
30,38,18,46,1219.25
31,35,27,12,2111.73
32,74,47,3,1592.02
33,35,37,30,389.8
34,92,15,36,2351.24
35,57,88,22,3498.4
36,33,39,28,1468.82
37,84,90,48,3820.26
38,46,18,27,4295.75
39,46,96,4,2524.83
40,89,32,3,186.66
41,9,88,38,426.23
42,12,68,16,3893.58
43,34,28,7,4378.88
44,48,8,15,4742.72
45,59,19,10,3965.34
46,69,27,18,3630.38
47,76,15,48,4950.48
48,1,77,6,2390.64
49,57,1,43,4589.79
50,55,83,2,1202.41
51,13,24,37,2643.83
52,19,84,18,4781.64
53,100,52,16,3698.5
54,90,86,40,1421.6
55,60,73,31,657.86
56,88,13,38,3568.56
57,47,81,45,1298.21
58,67,53,31,4807.63
59,97,15,20,334.59
60,80,68,26,558.2
61,83,10,7,3413.29
62,97,9,9,541.91
63,86,40,12,1982.22
64,50,20,25,2756.33
65,74,88,15,4696.52
66,100,20,24,2702.54
67,95,97,20,743.75
68,31,34,27,984.63
69,88,89,50,660.12
70,9,78,19,1716.41
71,93,92,7,1676.58
72,29,75,19,3334.63
73,3,3,35,3634
74,16,2,10,1358.69
75,65,56,44,207.6
76,53,77,31,852.55
77,9,90,9,4649.41
78,43,73,49,3834.78
79,48,82,9,2609.54
80,7,27,3,186.85
81,91,66,26,4469.59
82,83,98,21,1475.4
83,21,35,36,2917.37
84,9,79,46,1859.49
85,16,53,41,2357.56
86,1,87,12,3795.12
87,71,43,32,3281.95
88,43,11,8,4177.18
89,3,78,49,3819.92
90,43,81,49,1598.88
91,89,45,19,4729.85
92,73,37,34,3435.79
93,79,97,45,2081.3
94,22,28,2,3833.32
95,34,60,12,4916.5
96,92,24,22,3343.09
97,87,89,13,426.57
98,17,75,8,66.58
99,55,5,16,1224.89
100,44,93,39,4360.41
101,8,44,30,1808.75
102,72,36,18,3330.51
103,41,18,21,3242.71
104,31,83,31,1693.16
105,1,2,42,2815.84
106,71,12,42,1615.38
107,84,1,39,2897.13
108,38,74,34,4494.43
109,78,93,50,2096.32
110,5,98,7,761.07
111,92,71,9,3604.59
112,2,93,29,2690.23
113,92,43,26,3151.45
114,35,52,23,1743.39
115,49,23,46,2041.36
116,64,94,21,1824.84
117,44,81,23,3909.07
118,83,39,35,3892.27
119,93,57,39,3851.27
120,21,37,7,2498.12
121,15,70,24,3599.57
122,3,80,25,3381.78
123,62,49,38,4830.2
124,71,32,24,2247.07
125,95,36,44,2963.36
126,53,60,11,3792.59
127,88,95,27,3148.97
128,42,82,11,3596.29
129,2,67,13,807.71
130,41,64,28,1896.03
131,49,13,22,239.44
132,81,54,40,4791.17
133,81,30,46,1527.11
134,77,8,11,593.7
135,22,70,17,1727.8
136,39,5,41,3695.03
137,90,71,47,129.14
138,99,89,43,711.41
139,55,76,42,1258.43
140,84,74,14,215.54
141,56,86,48,848.42
142,56,82,40,176.26
143,37,75,40,2485.12
144,49,42,36,4322.78
145,2,47,22,4282.79
146,1,46,39,4112.48
147,71,44,31,4793.46
148,83,69,27,946.1
149,5,70,24,3199.14
150,99,66,4,170.8
151,96,91,46,4761.45
152,56,67,47,2549.9
153,59,19,26,347.31
154,68,26,43,1706.74
155,16,79,20,3762.27
156,55,26,37,1618.92
157,13,39,37,2235.16
158,32,4,41,4390.37
159,21,56,21,1255.82
160,34,78,45,2174.9
161,79,5,27,2069.04
162,77,11,7,1047.04
163,53,98,5,2108.55
164,100,25,16,4705.35
165,96,87,36,617.19
166,92,53,21,2599.64
167,66,4,38,2756.67
168,28,68,5,235.51
169,4,82,11,4293.05
170,19,49,2,4111.91
171,33,41,3,217.72
172,9,78,14,117.93
173,33,61,17,2762.39
174,84,62,9,277.05
175,68,98,22,1476.46
176,69,87,41,3049.12
177,51,86,27,3829.47
178,66,75,50,1542.13
179,9,28,38,4832.73
180,98,14,4,3472.21
181,17,70,48,3611.32
182,30,3,14,929.27
183,41,76,35,1296.14
184,96,71,9,1232.85
185,75,36,50,2968.39
186,48,89,34,564.18
187,45,31,40,3749.89
188,9,97,7,2631.35
189,44,99,7,3025.98
190,83,88,13,4439.87
191,1,67,50,3295.88
192,79,19,37,3004.79
193,66,16,20,2790.77
194,45,62,19,3902.23
195,74,24,41,437.23
196,55,24,35,4702.43
197,100,1,5,3687.56
198,31,46,27,3684.33
199,92,63,14,928.49
200,51,30,9,2814.13
