OrderID,CustomerID,OrderDate,TotalAmount
1,1,2025-06-26,36627.54
2,31,2025-10-03,12860.87
3,37,2025-11-30,14184.79
4,50,2026-01-19,2522.97
5,47,2025-12-21,5172.23
6,7,2025-10-11,34686.07
7,29,2026-02-17,38078.28
8,59,2025-08-24,16174.75
9,28,2025-06-19,49795.73
10,21,2025-11-14,48672.42
11,44,2026-01-21,49582.11
12,11,2025-07-28,35439.51
13,40,2026-02-09,13925.31
14,47,2026-04-03,40566.61
15,30,2025-12-01,48217.38
16,7,2026-01-24,7305.9
17,52,2025-10-04,47706.88
18,43,2025-09-14,27644.02
19,54,2026-05-07,9597.87
20,13,2025-12-06,45363.34
21,19,2026-02-15,22258.02
22,58,2025-11-20,22916.77
23,35,2025-12-23,20295.53
24,40,2025-06-04,43892.92
25,5,2025-06-01,48512.61
26,59,2025-08-20,40809.68
27,55,2025-05-20,41501.41
28,28,2026-04-07,28862.56
29,41,2025-09-23,16618.2
30,12,2025-06-21,1544.57
31,4,2026-01-17,24868.26
32,5,2026-03-12,44878.39
33,47,2025-08-28,12660.44
34,58,2025-09-19,38103.43
35,19,2025-08-25,25826.27
36,58,2025-09-24,48383.5
37,17,2025-10-08,42634.73
38,12,2025-05-31,15005.8
39,36,2025-09-24,42083.87
40,41,2025-07-16,42404.49
41,39,2025-10-03,13078.91
42,39,2026-01-24,40253.72
43,40,2025-09-06,24831.09
44,10,2025-10-28,42289.01
45,8,2025-06-24,34111.3
46,50,2026-04-20,9270.18
47,20,2025-11-14,11367.79
48,31,2026-03-21,22823.92
49,56,2025-09-06,24105.54
50,59,2025-11-02,28785.16
51,38,2025-08-20,27135.36
52,2,2025-05-28,38115.08
53,29,2026-02-08,20921.91
54,8,2025-12-23,8339.65
55,25,2025-07-04,28702.21
56,4,2025-07-10,12166.49
57,47,2025-06-05,48990.3
58,31,2026-03-08,12332.45
59,45,2026-04-01,30407.81
60,13,2025-07-28,34958.12
61,48,2026-02-25,21400.2
62,17,2025-11-22,20218.51
63,32,2026-05-05,33456.28
64,28,2026-04-08,33286.75
65,19,2026-03-14,12776.34
66,13,2025-11-15,42538.88
67,31,2025-11-14,37533.72
68,60,2026-01-14,3876.94
69,4,2025-10-18,17423.98
70,41,2026-05-10,45836.11
71,50,2026-05-09,48390.12
72,27,2025-07-24,1100.01
73,44,2025-08-29,43610.55
74,56,2025-08-26,34216.55
75,29,2025-11-17,36557.81
76,51,2025-09-05,46509.25
77,35,2026-02-26,15851.09
78,8,2025-07-30,19238.3
79,34,2025-05-29,47784.96
80,29,2026-02-15,49419.96
81,10,2025-07-04,24551.42
82,59,2025-11-17,1641.89
83,41,2025-06-13,20973.55
84,14,2025-08-02,11154.64
85,1,2026-02-24,13839.16
86,53,2025-07-14,22955.56
87,19,2026-01-16,20868.17
88,2,2026-05-13,18824.28
89,28,2025-11-22,37622.93
90,25,2025-12-05,25834.44
91,3,2025-08-17,47509.11
92,5,2026-04-11,23531.97
93,59,2025-06-03,8325.93
94,32,2025-08-11,33494.77
95,28,2026-05-04,6338.42
96,15,2025-10-28,15066.35
97,33,2025-05-22,4078.01
98,18,2026-03-02,13796.66
99,10,2025-08-02,35059.93
100,5,2026-03-19,36556.62
