MedicineID,MedicineName,Brand,Category,Price,ExpiryDate,BatchNumber,SupplierID
1,Oxymorphone hydrochloride,Photospace,Tablet,494.07,8/15/2025,BT-8984,12
2,"Octinoxate, Octocrylene",Bubbletube,Capsule,4471.07,12/8/2025,BT-7264,18
3,Octinoxate and Oxybenzone,Leexo,Syrup,3860.73,11/14/2025,BT-3242,11
4,Azithromycin,Meevee,Injection,3237.57,8/31/2025,BT-0856,8
5,Pantoprazole Sodium,Babbleblab,Cream,1805.21,4/22/2026,BT-9734,5
6,Isopropyl Alcohol,Dynabox,Drops,4132.94,9/30/2025,BT-7777,8
7,TENOFOVIR DISOPROXIL FUMARATE,Linktype,Gel,1505.18,10/8/2025,BT-6144,7
8,Natural Medicine,Jabberstorm,Patch,1116.83,9/19/2025,BT-6513,12
9,"camphor, eucalyptus oil, menthol natural",Feedbug,Lozenge,2194.77,4/21/2026,BT-5994,16
10,"Acetaminophen, dextromethorphan HBr, doxylamine succinate, phenylephrine HCl",Gabtune,Spray,391.12,9/10/2025,BT-0675,13
11,"TITANIUM DIOXIDE, ZINC OXIDE",Skippad,Tablet,274.14,5/13/2026,BT-7365,1
12,HUSKY 515,Rhycero,Capsule,1353.62,12/22/2025,BT-5364,16
13,Guaifenesin,Flashdog,Syrup,1812.65,9/28/2025,BT-0165,11
14,"AVOBENZONE, OCTOCRYLENE, OXYBENZONE",Divavu,Injection,105.47,11/6/2025,BT-2804,1
15,"Acetaminophen, Dextromethorphan Hydrobromide,Phenylephrine Hydrochloride",Oba,Cream,4083.46,2/12/2026,BT-2000,14
16,DIPYRIDAMOLE,Bluejam,Drops,1297.79,11/20/2025,BT-7338,9
17,Lisinopril,Centizu,Gel,2717.82,2/11/2026,BT-1123,13
18,NAPROXEN SODIUM,Devshare,Patch,1086.42,3/13/2026,BT-0883,17
19,PREGABALIN,Jaxworks,Lozenge,3424.07,4/15/2026,BT-3566,17
20,"Bacitracin, Neomycin, Polymyxin B, Pramoxine HCl",Fivespan,Spray,4040.44,6/20/2025,BT-9280,7
21,Pelargonium sidoides,Katz,Tablet,1075.9,5/10/2026,BT-7193,11
22,Nicotine Polacrilex,Divanoodle,Capsule,3402.52,6/20/2025,BT-2545,11
23,clonidine hydrochloride,Oyope,Syrup,4783.18,11/1/2025,BT-5587,13
24,ibuprofen,Oyope,Injection,3427.94,9/26/2025,BT-0919,17
25,MENTHOL,Meembee,Cream,1032.65,5/21/2025,BT-0948,15
26,TITANIUM DIOXIDE,Aibox,Drops,3311.45,2/25/2026,BT-0917,19
27,Montelukast Sodium,Rooxo,Gel,2038.99,10/13/2025,BT-9378,4
28,alendronate sodium,Oyoba,Patch,3555.02,11/26/2025,BT-4854,1
29,Triclocarben,Edgeclub,Lozenge,4320.17,4/30/2026,BT-1982,4
30,fentanyl citrate,Realpoint,Spray,1215.58,6/29/2025,BT-8042,8
31,Octinoxate,Skinder,Tablet,4017.34,9/6/2025,BT-8233,16
32,Alprazolam,Oyonder,Capsule,348.96,5/27/2025,BT-7955,6
33,Buspirone hydrochloride,Fivechat,Syrup,1246.19,11/24/2025,BT-3811,14
34,Simethicone,Tagcat,Injection,4299.21,2/20/2026,BT-6414,5
35,OCTINOXATE,Katz,Cream,1401.06,2/22/2026,BT-4740,1
36,White Potato,Brainlounge,Drops,4632,4/15/2026,BT-1830,15
37,simvastatin,Meezzy,Gel,3259.84,2/19/2026,BT-8747,8
38,furosemide,Feednation,Patch,113.75,10/20/2025,BT-4886,11
