OrderID,CustomerID,OrderDate,TotalAmount
1,1,6/26/2025,36627.54
2,31,10/3/2025,12860.87
3,37,11/30/2025,14184.79
4,50,1/19/2026,2522.97
5,47,12/21/2025,5172.23
6,7,10/11/2025,34686.07
7,29,2/17/2026,38078.28
8,59,8/24/2025,16174.75
9,28,6/19/2025,49795.73
10,21,11/14/2025,48672.42
11,44,1/21/2026,49582.11
12,11,7/28/2025,35439.51
13,40,2/9/2026,13925.31
14,47,4/3/2026,40566.61
15,30,12/1/2025,48217.38
16,7,1/24/2026,7305.9
17,52,10/4/2025,47706.88
18,43,9/14/2025,27644.02
19,54,5/7/2026,9597.87
20,13,12/6/2025,45363.34
21,19,2/15/2026,22258.02
22,58,11/20/2025,22916.77
23,35,12/23/2025,20295.53
24,40,6/4/2025,43892.92
25,5,6/1/2025,48512.61
26,59,8/20/2025,40809.68
27,55,5/20/2025,41501.41
28,28,4/7/2026,28862.56
29,41,9/23/2025,16618.2
30,12,6/21/2025,1544.57
31,4,1/17/2026,24868.26
32,5,3/12/2026,44878.39
33,47,8/28/2025,12660.44
34,58,9/19/2025,38103.43
35,19,8/25/2025,25826.27
36,58,9/24/2025,48383.5
37,17,10/8/2025,42634.73
38,12,5/31/2025,15005.8
39,36,9/24/2025,42083.87
40,41,7/16/2025,42404.49
41,39,10/3/2025,13078.91
42,39,1/24/2026,40253.72
43,40,9/6/2025,24831.09
44,10,10/28/2025,42289.01
45,8,6/24/2025,34111.3
46,50,4/20/2026,9270.18
47,20,11/14/2025,11367.79
48,31,3/21/2026,22823.92
49,56,9/6/2025,24105.54
50,59,11/2/2025,28785.16
51,38,8/20/2025,27135.36
52,2,5/28/2025,38115.08
53,29,2/8/2026,20921.91
54,8,12/23/2025,8339.65
55,25,7/4/2025,28702.21
56,4,7/10/2025,12166.49
57,47,6/5/2025,48990.3
58,31,3/8/2026,12332.45
59,45,4/1/2026,30407.81
60,13,7/28/2025,34958.12
61,48,2/25/2026,21400.2
62,17,11/22/2025,20218.51
63,32,5/5/2026,33456.28
64,28,4/8/2026,33286.75
65,19,3/14/2026,12776.34
66,13,11/15/2025,42538.88
67,31,11/14/2025,37533.72
68,60,1/14/2026,3876.94
69,4,10/18/2025,17423.98
70,41,5/10/2026,45836.11
71,50,5/9/2026,48390.12
72,27,7/24/2025,1100.01
73,44,8/29/2025,43610.55
74,56,8/26/2025,34216.55
75,29,11/17/2025,36557.81
76,51,9/5/2025,46509.25
77,35,2/26/2026,15851.09
78,8,7/30/2025,19238.3
79,34,5/29/2025,47784.96
80,29,2/15/2026,49419.96
81,10,7/4/2025,24551.42
82,59,11/17/2025,1641.89
83,41,6/13/2025,20973.55
84,14,8/2/2025,11154.64
85,1,2/24/2026,13839.16
86,53,7/14/2025,22955.56
87,19,1/16/2026,20868.17
88,2,5/13/2026,18824.28
89,28,11/22/2025,37622.93
90,25,12/5/2025,25834.44
91,3,8/17/2025,47509.11
92,5,4/11/2026,23531.97
93,59,6/3/2025,8325.93
94,32,8/11/2025,33494.77
95,28,5/4/2026,6338.42
96,15,10/28/2025,15066.35
97,33,5/22/2025,4078.01
98,18,3/2/2026,13796.66
99,10,8/2/2025,35059.93
100,5,3/19/2026,36556.62
